stockID,name,EPS_quater_previous,EPS_quater_newest,pe_ratio,volume,revenue_previous,revenue_newest
1808,潤隆,0.75,3.82,2.91,2422.0,458524.0,570068.0
2520,冠德,1.39,4.4,5.18,3427.0,1996216.0,2342031.0
2739,寒舍,1.82,3.85,7.43,371.0,378524.0,396536.0
6177,達麗,0.04,0.81,7.61,2425.0,148789.0,162846.0
2888,新光金,0.2,1.12,9.27,38188.0,-8232218.0,54748.0
3032,偉訓,1.4,1.92,10.82,387.0,560048.0,589212.0
6672,騰輝電子-KY,1.25,1.89,11.87,129.0,318294.0,334830.0
2606,裕民,1.17,1.44,11.91,1687.0,1257574.0,1446829.0
5534,長虹,0.3,1.28,12.49,2010.0,557431.0,1579669.0
2881,富邦金,2.34,3.63,12.9,11174.0,3720176.0,22774883.0
6625,必應,1.02,1.31,13.19,649.0,269025.0,514199.0
2357,華碩,7.33,15.9,13.6,2060.0,57139671.0,62060474.0
8112,至上,0.91,1.5,13.61,2075.0,15971747.0,24588497.0
2461,光群雷,0.1,1.47,13.73,487.0,433359.0,444256.0
2201,裕隆,0.83,1.16,13.78,4419.0,6999969.0,7066281.0
3703,欣陸,0.12,0.79,13.85,1391.0,2550226.0,2566797.0
2107,厚生,0.35,0.79,13.94,113.0,106158.0,162631.0
1708,東鹼,0.81,1.16,14.17,804.0,553054.0,559176.0
6412,群電,1.7,2.28,14.6,319.0,3532378.0,3620401.0
4938,和碩,1.22,2.1,14.88,4615.0,88437775.0,109264099.0
2428,興勤,2.6,3.42,14.93,162.0,650842.0,665600.0
4557,永新-KY,1.72,2.65,15.01,426.0,361445.0,372506.0
4912,聯德控股-KY,0.85,2.04,15.24,128.0,485280.0,507825.0
2439,美律,1.7,2.24,15.26,2790.0,4503841.0,4548840.0
2233,宇隆,2.48,3.01,15.3,1265.0,303064.0,309600.0
1707,葡萄王,1.74,2.21,15.75,225.0,838643.0,1232496.0
4137,麗豐-KY,0.91,2.68,15.97,211.0,329466.0,374340.0
3033,威健,0.39,0.84,16.16,3014.0,7518217.0,9146303.0
3413,京鼎,5.52,6.75,16.72,1328.0,1613387.0,1616439.0
2211,長榮鋼,1.16,1.91,17.09,400.0,1150102.0,1159962.0
2383,台光電,5.76,7.08,18.17,9867.0,5741209.0,5940565.0
5434,崇越,4.11,5.41,18.2,2090.0,5304489.0,5314010.0
3694,海華,0.37,0.83,18.27,443.0,831656.0,837574.0
2317,鴻海,1.59,2.53,19.53,78417.0,548311941.0,733023957.0
2543,皇昌,0.39,3.29,19.53,17309.0,903191.0,1016528.0
3231,緯創,1.24,1.55,20.32,21530.0,89820629.0,96903570.0
6581,鋼聯,1.17,2.55,20.33,179.0,175113.0,224052.0
2492,華新科,1.27,2.06,20.61,845.0,3076398.0,3182121.0
3706,神達,0.57,0.92,20.76,4794.0,5076771.0,5265408.0
2375,凱美,0.74,1.79,21.22,316.0,453199.0,473833.0
8438,昶昕,0.36,0.77,21.28,177.0,296631.0,301193.0
9917,中保科,1.4,1.78,21.94,407.0,1473856.0,1507922.0
3711,日月光投控,1.32,1.8,22.06,9478.0,52929761.0,55579391.0
8210,勤誠,3.03,3.77,22.31,2631.0,1303517.0,1465146.0
2376,技嘉,3.18,4.66,22.5,5118.0,24662927.0,26735874.0
6923,中台,0.88,1.68,22.95,402.0,129948.0,135329.0
6472,保瑞,7.07,11.61,23.52,1333.0,1870103.0,2023925.0
1590,亞德客-KY,9.15,11.31,23.73,302.0,2442223.0,2472535.0
2382,廣達,3.13,3.92,24.31,38883.0,145176833.0,155109787.0
5285,界霖,0.55,1.06,28.3,313.0,440171.0,465056.0
3665,貿聯-KY,3.56,6.13,28.74,3556.0,4558801.0,4589632.0
6205,詮欣,0.61,0.99,29.53,201.0,96364.0,116974.0
