idx,name,price,date,reason,volume,eps,pe_ratio
2739,寒舍,58.7,2024-10-24,三日均價大於六日均價,371.0,3.85,7.43
2881,富邦金,91.3,2024-10-24,"三日均價由下往上, 三日均價大於六日均價",11174.0,3.63,12.9
6625,必應,92.5,2024-10-24,三日均價大於六日均價,649.0,1.31,13.19
2461,光群雷,22.4,2024-10-24,"量大收紅, 三日均價大於六日均價",487.0,1.47,13.73
2201,裕隆,57.7,2024-10-24,"量大收紅, 三日均價大於六日均價",4419.0,1.16,13.78
4938,和碩,103.0,2024-10-24,量大收紅,4615.0,2.1,14.88
4557,永新-KY,137.5,2024-10-24,"量大收紅, 三日均價大於六日均價",426.0,2.65,15.01
2439,美律,111.0,2024-10-24,三日均價大於六日均價,2790.0,2.24,15.26
2233,宇隆,159.0,2024-10-24,三日均價大於六日均價,1265.0,3.01,15.3
1707,葡萄王,151.5,2024-10-24,量大收紅,225.0,2.21,15.75
2375,凱美,68.0,2024-10-24,三日均價大於六日均價,316.0,1.79,21.22
9917,中保科,137.5,2024-10-24,量大收紅,407.0,1.78,21.94
8210,勤誠,295.0,2024-10-24,"量縮價不跌, 三日均價大於六日均價",2631.0,3.77,22.31
2376,技嘉,270.0,2024-10-24,三日均價大於六日均價,5118.0,4.66,22.5
6923,中台,89.5,2024-10-24,"量大收紅, 三日均價大於六日均價",402.0,1.68,22.95
6472,保瑞,745.0,2024-10-24,三日均價大於六日均價,1333.0,11.61,23.52
2382,廣達,305.0,2024-10-24,三日均價大於六日均價,38883.0,3.92,24.31
5285,界霖,66.1,2024-10-24,"量大收紅, 三日均價大於六日均價",313.0,1.06,28.3
3665,貿聯-KY,476.5,2024-10-24,三日均價大於六日均價,3556.0,6.13,28.74
6205,詮欣,68.8,2024-10-24,三日均價由下往上,201.0,0.99,29.53
