idx,name,price,date,reason
2739,寒舍,59.4,2024-10-23,三日均價大於六日均價
2201,裕隆,58.0,2024-10-23,三日均價大於六日均價
2357,華碩,591.0,2024-10-23,三日均價由下往上
2881,富邦金,92.1,2024-10-23,"三日均價由下往上, 三日均價大於六日均價"
8112,至上,68.6,2024-10-23,三日均價大於六日均價
1708,東鹼,39.4,2024-10-23,三日均價大於六日均價
2383,台光電,444.0,2024-10-23,三日均價大於六日均價
3033,威健,36.2,2024-10-23,三日均價大於六日均價
3413,京鼎,361.5,2024-10-23,三日均價大於六日均價
2233,宇隆,160.5,2024-10-23,三日均價大於六日均價
2317,鴻海,216.0,2024-10-23,三日均價大於六日均價
2439,美律,113.5,2024-10-23,三日均價大於六日均價
8210,勤誠,301.0,2024-10-23,三日均價大於六日均價
2382,廣達,317.0,2024-10-23,三日均價大於六日均價
2376,技嘉,276.5,2024-10-23,三日均價大於六日均價
6472,保瑞,744.0,2024-10-23,三日均價大於六日均價
3665,貿聯-KY,488.5,2024-10-23,三日均價大於六日均價
3231,緯創,113.0,2024-10-23,三日均價大於六日均價
