stockID,name,EPS_quater_previous,EPS_quater_newest,pe_ratio,volume,revenue_previous,revenue_newest
1101,台泥,0.26,0.25,34.26,7555.0,13004435.0,13325249.0
1102,亞泥,0.89,1.27,14.65,5484.0,6734055.0,6496635.0
1103,嘉泥,-0.06,0.11,117.0,788.0,267388.0,249964.0
1104,環泥,0.37,0.56,10.05,265.0,652544.0,599242.0
1108,幸福,0.3,0.33,11.77,80.0,382273.0,417664.0
1109,信大,0.35,0.55,9.74,127.0,359275.0,317761.0
1110,東泥,0.05,0.1,91.46,385.0,327212.0,289245.0
1201,味全,0.26,0.2,26.79,208.0,2217179.0,2134895.0
1203,味王,0.64,0.5,21.75,28.0,496672.0,467801.0
1210,大成,1,0.94,11.14,575.0,9027255.0,8614876.0
1213,大飲,-0.43,0,13.0,25897.0,18428.0,
1215,卜蜂,1.25,1.28,14.35,165.0,2417581.0,2273593.0
1216,統一,0.97,1.04,26.94,7190.0,61624958.0,57852278.0
1217,愛之味,0.16,0.24,18.89,353.0,695333.0,487276.0
1218,泰山,0.32,0.42,13.53,257.0,1025513.0,985528.0
1219,福壽,0.15,0.18,20.18,195.0,1163022.0,1171870.0
1220,台榮,0.29,0.43,12.37,213.0,294205.0,273209.0
1225,福懋油,0.31,0.59,48.78,214.0,1077680.0,1030261.0
1227,佳格,0.52,0.32,21.93,336.0,2599750.0,2895023.0
1229,聯華,0.7,0.79,22.24,1135.0,918462.0,916900.0
1231,聯華食,1.18,0.88,24.14,67.0,1148313.0,920820.0
1232,大統益,1.76,2.65,18.97,33.0,1810031.0,1742432.0
1233,天仁,0.37,0.23,32.99,10.0,185428.0,183712.0
1234,黑松,0.44,0.62,17.05,123.0,1119093.0,944042.0
1235,興泰,0.41,0.6,32.91,23.0,13339.0,13412.0
1236,宏亞,0.09,-0.3,180.38,12.0,158879.0,182447.0
1256,鮮活果汁-KY,1.34,2.72,17.44,48.0,419072.0,432465.0
1301,台塑,0.03,0.21,55.0,11759.0,16140806.0,16641520.0
1303,南亞,0.16,0.22,43.56,7652.0,22463979.0,21428221.0
1304,台聚,-0.37,-0.23,1011.0,4233703.0,4138650.0,
1305,華夏,-0.05,0.16,53.17,651.0,643628.0,921273.0
1307,三芳,1.04,0.75,14.86,3831.0,1102715.0,923027.0
1308,亞聚,-0.32,-0.12,693.0,469189.0,382991.0,
1309,台達化,-0.26,-0.1,1291.0,1885923.0,1678546.0,
1310,台苯,-0.06,0.01,682.0,1037809.0,961410.0,
1312,國喬,-0.44,-0.23,1887.0,1506252.0,1200035.0,
1313,聯成,-0.59,-0.43,1679.0,5639666.0,5094421.0,
1314,中石化,0.06,0.06,25.25,12496.0,2826544.0,2068523.0
1315,達新,0.42,0.62,37.07,7.0,176634.0,175583.0
1316,上曜,-0.27,0.05,3845.0,84224.0,154633.0,
1319,東陽,1.98,1.76,15.75,3181.0,2127240.0,2171105.0
1321,大洋,0.53,0.32,33.05,457.0,339149.0,344278.0
1323,永裕,0.26,0.29,25.36,30.0,193855.0,189504.0
1324,地球,0,0.02,38.09,172.0,61453.0,59058.0
1325,恆大,0.16,-0.07,312.22,195.0,23387.0,23142.0
1326,台化,0.26,0.32,20.37,5347.0,29371521.0,27508402.0
1337,再生-KY,-0.36,-0.34,159.0,57355.0,54485.0,
1338,廣華-KY,-0.3,0.1,122.0,355935.0,451843.0,
1339,昭輝,1.8,1.23,9.3,50.0,163417.0,159246.0
1340,勝悅-KY,-0.66,-0.77,114.0,25196.0,30893.0,
1341,富林-KY,1.46,1.2,15.12,2.0,223731.0,206337.0
1342,八貫,1.77,1.46,15.16,271.0,210514.0,212103.0
1402,遠東新,0.32,0.69,20.67,5515.0,22820578.0,22602356.0
1409,新纖,0.22,0.27,19.09,1854.0,3869327.0,3751001.0
1410,南染,0.22,0.1,100.68,51.0,23137.0,20499.0
1413,宏洲,-0.11,-0.11,27.0,223484.0,205423.0,
1414,東和,0.08,0.08,83.15,280.0,39468.0,37721.0
1416,廣豐,0.15,0.28,14.2,235.0,25265.0,28518.0
1417,嘉裕,-0.02,-0.16,252.0,50209.0,32097.0,
1418,東華,-0.65,-0.45,52.05,78.0,711.0,89.0
1419,新紡,0.3,0.71,20.11,32.0,476876.0,395516.0
1423,利華,0.02,0.26,56.2,19.0,10436.0,5322.0
1432,大魯閣,0,-0.11,83.26,119.0,117702.0,98050.0
1434,福懋,0.11,0.14,102.37,812.0,2440336.0,2366216.0
1435,中福,-0.03,-0.05,2.0,991.0,990.0,
1436,華友聯,-0.36,5.74,8.32,1255.0,1338989.0,1524020.0
1437,勤益控,0.81,1.07,9.96,41.0,67733.0,66233.0
1438,三地開發,-0.11,-0.38,88.0,1164987.0,,
1439,雋揚,0.54,0.13,19.71,41.0,4818.0,4843.0
1440,南紡,-0.06,-0.04,10.2,737.0,1640302.0,1335209.0
1441,大東,-0.49,2.8,174.44,17.0,196730.0,121556.0
